Pixel Index,ANOVA Score,p-value,Status,Rank
1458,18.673661912281705,1.7255707279701694e-21,Eliminated,252.0
2176,18.657532272797873,1.805431736231036e-21,Eliminated,253.0
310,18.65649643090778,1.81068489888904e-21,Eliminated,254.0
1618,18.641769144896976,1.8870475244952567e-21,Eliminated,255.0
1470,18.63569399060415,1.9194784141840474e-21,Eliminated,256.0
456,18.62412461159736,1.9827882488180277e-21,Eliminated,257.0
357,18.580105889769342,2.243349008860117e-21,Eliminated,258.0
1496,18.578676846135462,2.2523589012577972e-21,Eliminated,259.0
1410,18.577702011514514,2.258525829210637e-21,Eliminated,260.0
360,18.56051683137525,2.3700562674754237e-21,Eliminated,261.0
887,18.553043805034903,2.420257988821387e-21,Eliminated,262.0
1931,18.524004416827708,2.6256377151460516e-21,Eliminated,263.0
359,18.499536328651708,2.812155816508505e-21,Eliminated,264.0
453,18.473826058878707,3.0224340945118147e-21,Eliminated,265.0
452,18.457122718573775,3.167399997677626e-21,Eliminated,266.0
2290,18.452597318740004,3.2078585694830874e-21,Eliminated,267.0
1979,18.39294701138074,3.792044204552115e-21,Eliminated,268.0
1219,18.368674366041613,4.059184304155841e-21,Eliminated,269.0
2127,18.349634974613938,4.281831888796892e-21,Eliminated,270.0
1744,18.344184192405997,4.347793277354125e-21,Eliminated,271.0
1665,18.341802028278494,4.376938616140521e-21,Eliminated,272.0
2031,18.333414747933716,4.481118975515868e-21,Eliminated,273.0
1839,18.32618308852006,4.572933466200598e-21,Eliminated,274.0
266,18.311464262164435,4.765657782445694e-21,Eliminated,275.0
645,18.29873652377917,4.938846747936153e-21,Eliminated,276.0
1080,18.20816532223539,6.367099272604872e-21,Eliminated,277.0
1568,18.17707337920204,6.9472183276759e-21,Eliminated,278.0
312,18.170061785506604,7.085179593687456e-21,Eliminated,279.0
309,18.135193827602638,7.813015753499123e-21,Eliminated,280.0
1119,18.124718822083846,8.045939305491763e-21,Eliminated,281.0
1593,18.080412452977555,9.11043760898642e-21,Eliminated,282.0
1619,18.07177727243378,9.33375216422667e-21,Eliminated,283.0
1171,18.070134920808634,9.376840462119835e-21,Eliminated,284.0
